Node,mean,stdev
50,7.294,0.474
51,7.299,0.441
52,7.310,0.445
53,7.312,0.445
54,7.324,0.442
55,7.324,0.436
56,7.338,0.411
57,7.332,0.412
58,7.333,0.406
59,7.338,0.407
60,7.327,0.411
61,7.334,0.418
62,7.344,0.415
63,7.354,0.406
64,7.362,0.415
65,7.368,0.408
66,7.376,0.403
67,7.381,0.403
68,7.386,0.402
69,7.394,0.400
70,7.401,0.393
71,7.416,0.397
72,7.421,0.383
73,7.437,0.390
74,7.446,0.392
75,7.454,0.395
76,7.469,0.396
77,7.477,0.396
78,7.478,0.389
79,7.488,0.385
80,7.495,0.380
81,7.497,0.377
82,7.509,0.376
83,7.511,0.377
84,7.512,0.373
85,7.507,0.397
86,7.510,0.391
87,7.514,0.387
88,7.519,0.383
89,7.533,0.373
90,7.542,0.375
91,7.546,0.367
92,7.546,0.369
93,7.544,0.370
94,7.547,0.369
95,7.551,0.366
96,7.511,0.381
97,7.512,0.381
98,7.516,0.380
99,7.522,0.380
100,7.527,0.380
101,7.541,0.376
102,7.548,0.373
103,7.558,0.374
104,7.572,0.367
105,7.580,0.364
106,7.580,0.362
107,7.590,0.362
108,7.625,0.350
109,7.644,0.352
110,7.650,0.351
111,7.657,0.353
112,7.661,0.353
113,7.664,0.352
114,7.671,0.353
115,7.675,0.352
116,7.680,0.351
117,7.683,0.351
118,7.687,0.352
119,7.691,0.352
120,7.695,0.351
121,7.697,0.350
122,7.701,0.350
123,7.705,0.351
124,7.710,0.350
125,7.714,0.348
126,7.719,0.347
127,7.725,0.337
128,7.731,0.334
129,7.737,0.331
130,7.742,0.331
131,7.744,0.330
132,7.750,0.329
133,7.754,0.328
134,7.756,0.324
135,7.759,0.323
136,7.759,0.315
137,7.763,0.313
138,7.768,0.311
139,7.771,0.310
140,7.774,0.309
141,7.776,0.309
142,7.779,0.308
143,7.783,0.306
144,7.808,0.282
145,7.814,0.280
146,7.815,0.280
147,7.817,0.280
148,7.819,0.279
149,7.821,0.279
150,7.823,0.280
151,7.826,0.282
152,7.830,0.282
153,7.832,0.283
154,7.834,0.282
155,7.839,0.285
156,7.840,0.286
157,7.843,0.287
158,7.845,0.286
159,7.855,0.279
160,7.856,0.280
161,7.857,0.281
162,7.859,0.291
163,7.857,0.291
164,7.858,0.291
165,7.861,0.290
166,7.875,0.290
167,7.875,0.289
168,7.875,0.289
169,7.879,0.292
170,7.878,0.292
171,7.878,0.293
172,7.880,0.295
173,7.886,0.297
174,7.888,0.296
175,7.889,0.296
176,7.889,0.296
177,7.890,0.295
178,7.891,0.295
179,7.893,0.293
180,7.897,0.294
181,7.900,0.294
182,7.902,0.294
183,7.903,0.295
184,7.904,0.294
185,7.906,0.294
186,7.911,0.295
187,7.925,0.298
188,7.928,0.298
189,7.930,0.298
190,7.934,0.299
191,7.937,0.299
192,7.942,0.301
193,7.947,0.302
194,7.949,0.303
195,7.950,0.303
196,7.951,0.304
197,7.956,0.305
198,7.957,0.305
199,7.960,0.305
200,7.963,0.305
201,7.965,0.306
202,7.968,0.306
203,7.978,0.307
204,7.980,0.307
205,7.986,0.307
206,7.986,0.306
207,7.987,0.306
208,7.988,0.305
209,7.988,0.305
210,7.988,0.306
211,7.986,0.306
212,7.987,0.306
213,7.986,0.306
214,7.986,0.305
215,7.988,0.301
216,7.988,0.298
217,7.988,0.299
218,7.988,0.299
219,7.991,0.300
220,7.992,0.302
221,7.990,0.303
222,7.992,0.303
223,7.992,0.303
224,7.993,0.303
225,7.993,0.303
226,7.993,0.306
227,7.992,0.305
228,7.991,0.305
229,7.990,0.305
